imdb_title_id,show_id,listed_in_id
18362,6866,1
20480,7073,2
27635,2399,3
29321,4713,4
32903,5122,5
35405,3315,6
36533,2797,7
37384,7323,8
39840,5625,9
44762,3092,10
45776,1720,11
46839,6234,12
47641,7596,13
48545,5123,14
49224,2234,15
50646,3797,16
51246,402,17
51453,1242,18
51654,2411,19
53601,1153,20
53946,3188,21
54204,6804,22
56220,4301,23
56355,4982,24
58530,5377,25
59029,6222,26
59096,2110,27
59104,1794,28
60084,481,29
61398,1042,30
61483,1498,31
62789,1345,32
63493,5286,33
63818,7746,34
65051,2029,35
65484,6169,36
66927,166,37
67099,2153,38
68003,7629,39
68267,771,40
69064,6732,41
69067,6729,42
69079,4804,43
69460,7406,44
69820,6167,45
69888,1415,46
70369,4009,47
70642,5428,48
71111,393,49
71224,6137,50
71756,6603,51
71804,3916,52
71842,4208,53
71853,2014,54
72064,5082,55
72067,300,56
72783,1386,57
74804,3705,58
75306,5995,59
75781,154,60
75802,6199,61
76028,2185,62
76035,2229,63
77640,2523,64
79239,2464,65
79252,6420,66
79517,3838,67
79759,392,68
79835,5247,69
81353,4910,70
81387,5064,71
82156,1288,72
82172,6215,73
82576,3277,74
83117,5849,75
83324,7636,76
83793,6267,77
83911,6338,78
84385,4396,79
84616,5248,80
84633,5406,81
85769,3318,82
85894,3901,83
85908,3984,84
86226,5337,85
87147,2151,86
87432,2936,87
87456,2994,88
87755,6699,89
88864,1127,90
89567,4015,91
89594,4129,92
89911,5249,93
90199,7223,94
90629,486,95
90678,679,96
91757,4880,97
91837,5226,98
93116,2590,99
93349,3488,100
95396,3388,101
95638,4373,102
95639,6698,103
95900,5071,104
95993,5433,105
96523,409,106
97028,1457,107
97081,1576,108
97515,2992,109
99278,1525,110
99615,2394,111
99637,2494,112
100046,3876,113
100477,5250,114
100774,7208,115
100893,7616,116
101296,487,117
102000,2800,118
102210,6553,119
102216,6561,120
102453,4321,121
102697,5043,122
103009,6015,123
103200,7597,124
103704,759,125
103867,1201,126
103943,1403,127
103994,6257,128
104405,2854,129
104642,6557,130
105007,4787,131
105032,4795,132
105085,6768,133
105197,5200,134
105414,5847,135
106591,167,136
106651,1714,137
106894,2226,138
107007,2551,139
107756,6746,140
107777,4845,141
108002,5431,142
108011,5450,143
108137,5669,144
108186,5848,145
108480,7571,146
109068,508,147
109461,6254,148
109785,6361,149
109795,2252,150
110186,3282,151
110604,6706,152
110877,5003,153
110958,6829,154
111496,7328,155
111700,7682,156
111751,7695,157
112291,6081,158
112408,688,159
112433,709,160
112438,757,161
112556,1091,162
113153,2466,163
113303,2848,164
113364,6490,165
113406,3077,166
113481,3368,167
113972,4543,168
113992,4584,169
114196,5089,170
114345,6858,171
114666,7224,172
115587,795,173
115920,6246,174
116064,1850,175
116198,2060,176
116280,6356,177
116365,2484,178
116742,3405,179
116820,3654,180
117039,4237,181
117332,4970,182
117372,5078,183
117607,5668,184
117716,5850,185
117891,7183,186
117905,6945,187
118607,6098,188
118615,627,189
118743,6171,190
118789,1289,191
118893,1605,192
118966,1824,193
119020,2044,194
119167,2477,195
119291,2842,196
119351,3104,197
119389,3234,198
119427,3414,199
119520,3708,200
119534,3764,201
119605,4032,202
119661,4178,203
119744,4519,204
119773,593,205
119818,4774,206
119828,6745,207
119932,6801,208
120013,6847,209
120034,5443,210
120307,7143,211
120323,467,212
120448,6991,213
120640,2136,214
120703,3696,215
120716,6645,216
120747,211,217
120812,5731,218
120851,1817,219
120872,7624,220
120885,4033,221
121339,4123,222
122648,5674,223
124836,2678,224
125954,1268,225
127536,1195,226
128274,5289,227
129213,5107,228
129243,1666,229
131517,758,230
132984,6649,231
133981,6840,232
133985,5444,233
133987,6921,234
135694,2007,235
138289,1923,236
138359,2671,237
142257,902,238
143093,7016,239
144018,474,240
145300,4871,241
145551,628,242
149244,7588,243
150239,1834,244
152018,5090,245
152432,5694,246
152720,5954,247
158610,6362,248
160009,6095,249
161081,7559,250
163246,5303,251
164334,432,252
164550,1897,253
164912,5858,254
165382,6648,255
166120,1951,256
167261,6617,257
167281,6618,258
169606,456,259
170107,2840,260
172175,689,261
172329,1258,262
172711,3461,263
174470,7592,264
175153,5429,265
175996,3861,266
178988,3917,267
180895,4763,268
181311,1003,269
181845,6026,270
184940,5683,271
185429,2408,272
185520,3667,273
186658,5733,274
189541,1899,275
190419,6265,276
191833,95,277
192407,6605,278
195960,2164,279
202604,3789,280
207093,3913,281
207359,7096,282
209037,1778,283
210075,6205,284
210717,1257,285
211737,5696,286
211971,639,287
212075,839,288
212720,7003,289
216023,3443,290
217654,2352,291
217841,4399,292
218641,5001,293
220016,2862,294
220644,3358,295
221162,994,296
222512,4846,297
223268,1113,298
225515,518,299
227489,4637,300
227759,6852,301
228021,5774,302
234374,6650,303
237541,3526,304
238595,2019,305
240802,4564,306
242527,2065,307
242593,2704,308
242888,6651,309
243649,5859,310
244409,5949,311
244624,3362,312
245674,7691,313
245834,1263,314
246095,3985,315
246460,774,316
246464,1752,317
248103,2201,318
249506,600,319
249542,928,320
250636,3478,321
250837,5141,322
251031,6011,323
251160,2054,324
255312,2589,325
255713,7160,326
257289,5323,327
258123,4754,328
259446,2400,329
259592,4742,330
261552,3131,331
263032,7071,332
264571,1243,333
265133,952,334
265357,904,335
266765,3376,336
267703,2644,337
267813,3263,338
268579,3180,339
268917,6931,340
271677,7439,341
276773,287,342
277986,5105,343
280523,4251,344
280699,2503,345
281364,251,346
282552,2693,347
283539,6743,348
284492,5542,349
284537,5651,350
286855,7546,351
286915,5023,352
286942,5351,353
288520,170,354
290028,6952,355
292432,1758,356
293464,6754,357
294448,6387,358
295004,626,359
295671,7689,360
297234,3482,361
298130,6823,362
304513,4173,363
305392,523,364
305499,1282,365
305574,4869,366
309578,2165,367
313990,1893,368
314331,6005,369
315638,7495,370
316187,5077,371
317305,1579,372
319546,2922,373
319769,6582,374
323120,3525,375
323279,3795,376
323807,4026,377
324518,6924,378
325123,5951,379
326770,656,380
326977,6424,381
327116,4375,382
327679,1503,383
329083,1760,384
329099,1894,385
330073,7690,386
330175,1046,387
331509,7593,388
335596,5799,389
337697,6777,390
337961,1684,391
338418,6770,392
338466,5776,393
338512,98,394
341284,893,395
343660,122,396
346750,1266,397
347304,3164,398
347330,3291,399
347333,4120,400
347585,3873,401
348060,5298,402
348214,5911,403
348505,7461,404
348691,3363,405
348824,3460,406
348847,2506,407
349387,1622,408
349995,4566,409
352277,1937,410
355295,6184,411
356453,164,412
361715,2998,413
362696,3065,414
363276,4454,415
363409,867,416
366527,2632,417
367087,6900,418
367525,1280,419
367628,1757,420
367859,2991,421
368795,2249,422
368876,4425,423
368962,5667,424
369641,4203,425
370294,1326,426
373862,2350,427
375679,1518,428
375733,2000,429
375912,3552,430
376114,5710,431
376144,6841,432
377321,7064,433
377845,6320,434
378226,3377,435
381008,1235,436
382180,4279,437
382622,6263,438
383177,6758,439
383965,1270,440
384806,6082,441
385880,4200,442
386582,2757,443
388182,3400,444
388419,1373,445
389790,804,446
393049,1098,447
393081,1439,448
397882,1031,449
398075,6614,450
399811,7440,451
400199,951,452
400679,4664,453
401449,6446,454
401593,3203,455
401726,5617,456
401855,45,457
405629,5098,458
407929,6289,459
408302,5938,460
409011,3456,461
409344,4916,462
409694,5532,463
410162,2879,464
410316,6543,465
411665,2664,466
413348,2038,467
413422,5754,468
414055,1284,469
415046,2166,470
415234,3893,471
415964,3275,472
416331,6893,473
416729,802,474
416854,1971,475
418499,4274,476
418599,355,477
418851,3245,478
419168,4847,479
419781,1825,480
420101,4261,481
420293,5836,482
420347,6904,483
422366,2152,484
422963,574,485
423116,4747,486
423397,5919,487
425079,1998,488
425123,2389,489
425743,7179,490
427235,1767,491
427369,2579,492
431418,4721,493
433350,5119,494
433438,3250,495
433692,3093,496
434883,7380,497
435761,4457,498
436385,2324,499
437221,3479,500
438893,6027,501
438986,3010,502
443352,3647,503
443354,7393,504
444200,7775,505
445061,2863,506
446009,298,507
446312,5441,508
448150,3427,509
448927,7783,510
449057,5013,511
449642,3813,512
449828,667,513
449994,4718,514
450232,3196,515
450233,3281,516
450385,72,517
450836,1397,518
451829,561,519
451984,3875,520
452003,4486,521
452032,4739,522
452634,6177,523
452661,2485,524
452681,3517,525
452780,6932,526
453740,7358,527
454190,3052,528
455115,6791,529
457488,4829,530
457572,4383,531
457939,6150,532
459427,2409,533
461336,1939,534
462219,964,535
462242,1450,536
464636,1384,537
465580,2943,538
468521,1115,539
469686,7039,540
469748,7668,541
470883,2056,542
470993,4683,543
472094,4,544
472254,4820,545
472268,6881,546
473474,3094,547
475343,2578,548
476603,1005,549
476964,5094,550
477050,6172,551
478149,5,552
479751,1039,553
480025,3844,554
480586,979,555
480732,5017,556
481393,4495,557
481581,6253,558
481797,2631,559
486629,2270,560
486771,5795,561
488309,2253,562
488853,7315,563
488928,7524,564
490215,418,565
493171,4361,566
494505,3007,567
494841,7438,568
495596,2472,569
497378,4565,570
497470,1061,571
758771,2287,572
758794,3035,573
764271,4875,574
765263,241,575
780530,1204,576
780571,6780,577
780607,2951,578
785077,2827,579
788052,2824,580
790676,1584,581
795413,1233,582
795493,4397,583
796206,5430,584
800981,1409,585
801344,6301,586
803029,553,587
805492,883,588
807702,1229,589
808232,522,590
808359,2796,591
810846,6266,592
810988,5961,593
811128,5574,594
812265,6623,595
814335,3991,596
814381,5245,597
814656,5516,598
816145,5558,599
820037,7169,600
825270,6185,601
827729,2767,602
829193,6919,603
830581,5907,604
830838,5029,605
832284,347,606
833960,6527,607
837106,3459,608
839967,5810,609
844742,1427,610
845474,2799,611
845537,1733,612
846015,7698,613
859760,5676,614
859765,6028,615
864779,4276,616
865556,4254,617
866437,6365,618
867303,6517,619
879843,4291,620
880633,1915,621
887793,3809,622
902253,5877,623
910868,6181,624
913968,4862,625
920476,1837,626
927575,4990,627
929613,6164,628
937375,1486,629
938706,6551,630
939911,5607,631
948532,1656,632
952656,3840,633
959324,4474,634
960714,5189,635
960855,7729,636
961066,803,637
965405,2120,638
965411,6349,639
970453,2858,640
970922,5701,641
976024,73,642
979913,2303,643
981293,3862,644
984055,6070,645
984210,3330,646
984243,5934,647
988083,5955,648
989000,5564,649
989007,7184,650
991242,6426,651
991347,202,652
995757,892,653
1002765,7028,654
1006823,6539,655
1007028,3538,656
1007950,7759,657
1008010,6510,658
1008017,3912,659
1008023,7498,660
1014068,4102,661
1016033,2695,662
1018818,2237,663
1023481,4263,664
1023490,7702,665
1024715,7620,666
1024733,1350,667
1027862,7663,668
1029231,5594,669
1031224,3884,670
1032817,590,671
1034397,1686,672
1034449,5208,673
1037156,4691,674
1039651,3578,675
1039786,6163,676
1043719,2148,677
1045898,6442,678
1046163,5611,679
1047459,6042,680
1051906,6148,681
1053859,4818,682
1058748,6502,683
1064744,6739,684
1064801,2554,685
1064926,3756,686
1069238,7706,687
1071876,2142,688
1073122,6250,689
1073240,7632,690
1076251,5055,691
1078933,4356,692
1085400,5056,693
1086214,6776,694
1087475,6059,695
1091989,5264,696
1092019,6615,697
1092059,2471,698
1093374,6407,699
1094241,6283,700
1094265,3096,701
1094275,7308,702
1095408,1477,703
1100022,7666,704
1102252,5502,705
1106447,3411,706
1107807,2124,707
1107816,3909,708
1112289,6920,709
1116944,1652,710
1121801,891,711
1122775,5520,712
1124394,2275,713
1124397,6568,714
1125351,6182,715
1127886,1142,716
1129423,7152,717
1130980,6492,718
1132171,2615,719
1133995,7300,720
1135781,5967,721
1135961,3238,722
1137477,5524,723
1137481,237,724
1137979,1784,725
1139780,6090,726
1139789,2813,727
1139790,169,728
1144551,6957,729
1146290,6351,730
1151923,7310,731
1155060,7394,732
1156300,6524,733
1156516,3312,734
1157552,7779,735
1167675,2622,736
1170400,1808,737
1172060,1160,738
1173946,6235,739
1174042,5660,740
1178197,5386,741
1179019,4805,742
1179057,3454,743
1179794,2296,744
1181927,4768,745
1183665,4222,746
1186365,1832,747
1186370,3472,748
1187043,3466,749
1187046,4478,750
1188988,101,751
1194229,5099,752
1194235,7368,753
1204342,730,754
1205506,6693,755
1206283,2511,756
1206478,6807,757
1210359,1112,758
1213648,3550,759
1216275,5958,760
1217595,3384,761
1217613,3558,762
1220224,3645,763
1220622,3571,764
1221151,5167,765
1222329,1989,766
1225698,332,767
1226770,2383,768
1228962,273,769
1230444,5243,770
1230448,5365,771
1232162,927,772
1234250,7548,773
1234550,1217,774
1235170,6659,775
1235415,5135,776
1239438,2261,777
1239466,1133,778
1242516,270,779
1242527,1673,780
1242778,7575,781
1244614,1490,782
1244754,250,783
1245091,6934,784
1247673,3113,785
1252614,4074,786
1254792,359,787
1258195,5049,788
1259609,6550,789
1260565,1702,790
1261050,5571,791
1262941,2933,792
1262990,5521,793
1266545,6834,794
1267160,4545,795
1267831,4280,796
1272013,4660,797
1272016,1812,798
1273658,1066,799
1274717,6897,800
1275778,3298,801
1277997,3744,802
1282083,252,803
1283889,1913,804
1285243,6885,805
1286147,1809,806
1288461,1248,807
1290140,6429,808
1291183,2260,809
1292566,6014,810
1292643,5048,811
1294193,4716,812
1303230,10,813
1303743,6508,814
1307926,123,815
1309557,6433,816
1318025,230,817
1321860,6558,818
1322312,1669,819
1326207,7463,820
1328604,1725,821
1334514,4245,822
1336253,588,823
1337505,7173,824
1347170,3067,825
1352380,5139,826
1353105,5970,827
1355575,1346,828
1356860,2002,829
1362141,2489,830
1365598,786,831
1369669,4038,832
1372301,1425,833
1373243,3410,834
1375666,3310,835
1376710,2980,836
1378238,5054,837
1384927,7728,838
1388418,6730,839
1388434,5567,840
1388444,7163,841
1389374,152,842
1393746,1741,843
1395135,1272,844
1397280,4634,845
1398028,301,846
1398918,5181,847
1401622,7639,848
1401674,7352,849
1405807,7243,850
1412528,2802,851
1417054,346,852
1418377,3383,853
1422800,4681,854
1429432,7497,855
1430811,589,856
1431065,906,857
1434423,1779,858
1439226,2562,859
1440292,3995,860
1442486,7338,861
1442543,5030,862
1444680,7264,863
1446192,2362,864
1454612,6448,865
1456635,4971,866
1458169,2497,867
1459026,6243,868
1465518,4299,869
1473361,4743,870
1480658,266,871
1483799,2565,872
1490602,7229,873
1492872,1334,874
1493829,2722,875
1499240,2831,876
1504508,6534,877
1507369,2663,878
1509109,6944,879
1513750,4319,880
1517489,4515,881
1524148,4448,882
1525915,6977,883
1529233,2808,884
1535612,4790,885
1537392,7450,886
1538221,7551,887
1541874,4882,888
1544578,7244,889
1547039,1717,890
1549584,3236,891
1554091,7634,892
1554921,6556,893
1555095,1094,894
1562325,6647,895
1562849,6294,896
1564368,7770,897
1564997,2868,898
1565958,5658,899
1566001,2098,900
1569356,6397,901
1570417,7479,902
1572783,6017,903
1579526,1087,904
1580704,3983,905
1583213,2832,906
1587431,5266,907
1588878,1417,908
1590013,6575,909
1592292,3020,910
1592503,299,911
1594505,3701,912
1597522,5728,913
1603862,4661,914
1603933,615,915
1606267,7777,916
1606306,1931,917
1609488,3798,918
1611944,6143,919
1615840,3438,920
1619281,3246,921
1620464,2924,922
1620466,4290,923
1621446,256,924
1621766,4722,925
1621780,977,926
1624376,105,927
1625150,4771,928
1626606,2919,929
1628841,7737,930
1629766,2886,931
1630052,137,932
1634509,3289,933
1638894,7433,934
1639320,4695,935
1639826,3787,936
1640548,5977,937
1640711,7297,938
1641400,43,939
1641638,3244,940
1648099,2852,941
1649760,2190,942
1650844,5530,943
1656194,4367,944
1657299,6096,945
1657448,7622,946
1659343,2794,947
1660303,2414,948
1661382,2640,949
1661461,6753,950
1663631,1558,951
1667156,2292,952
1669268,4126,953
1674771,6849,954
1682246,6905,955
1684548,805,956
1686053,3158,957
1692189,1470,958
1693039,807,959
1696181,5983,960
1703942,1230,961
1705956,1941,962
1708135,5989,963
1708453,6036,964
1708534,5685,965
1710627,5114,966
1712570,85,967
1714667,4053,968
1714758,7228,969
1715336,6891,970
1715873,1791,971
1720254,171,972
1722516,6043,973
1725969,2064,974
1726889,876,975
1728973,1389,976
1731230,50,977
1733105,6677,978
1733729,753,979
1735839,4492,980
1738387,6063,981
1740662,6512,982
1743985,5461,983
1745784,2910,984
1754920,5385,985
1754944,5452,986
1756427,5994,987
1759744,556,988
1766094,3393,989
1772947,563,990
1778258,3926,991
1779814,6013,992
1781948,333,993
1784589,4303,994
1786650,4881,995
1787636,497,996
1787731,1344,997
1787829,6978,998
1791687,5969,999
1793239,5615,1000
1794886,7590,1001
1801051,2701,1002
1801064,835,1003
1808197,2893,1004
1813225,7322,1005
1815769,719,1006
1820707,6763,1007
1822266,3286,1008
1823067,6242,1009
1823120,6714,1010
1823231,7454,1011
1825746,215,1012
1825842,1277,1013
1826603,960,1014
1838563,5536,1015
1839494,5033,1016
1843202,1338,1017
1843333,1701,1018
1849856,272,1019
1851848,5915,1020
1851871,344,1021
1855268,1788,1022
1855401,1401,1023
1857797,2003,1024
1859446,4844,1025
1861421,3316,1026
1862457,6452,1027
1863192,7271,1028
1864405,5341,1029
1872220,3834,1030
1879012,5739,1031
1881010,6271,1032
1881045,6325,1033
1884312,3432,1034
1893277,5065,1035
1895587,4635,1036
1900886,5770,1037
1904937,3990,1038
1911553,4067,1039
1918886,6196,1040
1919207,5579,1041
1924273,5011,1042
1924334,7197,1043
1928124,1972,1044
1929263,5015,1045
1935302,1691,1046
1937154,4270,1047
1937292,4204,1048
1941466,2387,1049
1942913,1227,1050
1945118,1478,1051
1951166,5628,1052
1954258,2712,1053
1954364,3608,1054
1961279,7411,1055
1961386,2041,1056
1964795,455,1057
1971325,1404,1058
1980959,5980,1059
1986202,3527,1060
1987680,1428,1061
1988774,7594,1062
1996223,1313,1063
2005299,7674,1064
2005404,3836,1065
2007421,6378,1066
2023454,3896,1067
2023587,6882,1068
2024432,4694,1069
2036376,7378,1070
2048688,4465,1071
2048846,177,1072
2055765,1508,1073
2056740,4287,1074
2062495,4494,1075
2062633,66,1076
2073564,5540,1077
2080355,5290,1078
2082155,5815,1079
2088950,698,1080
2091947,754,1081
2097298,3006,1082
2102355,3,1083
2103267,5771,1084
2103281,6757,1085
2109127,5746,1086
2113644,1312,1087
2119383,7660,1088
2119467,2418,1089
2123884,2150,1090
2132338,2095,1091
2132443,6023,1092
2134193,6147,1093
2140507,3713,1094
2141833,5417,1095
2145258,2689,1096
2145849,840,1097
2145903,3477,1098
2145909,5492,1099
2147589,6371,1100
2160413,2276,1101
2172402,2481,1102
2172985,6367,1103
2175987,3924,1104
2175997,97,1105
2176013,4055,1106
2176049,6094,1107
2182095,213,1108
2186663,1905,1109
2186766,48,1110
2188733,3828,1111
2196848,288,1112
2201251,4850,1113
2210879,7187,1114
2211044,3288,1115
2216856,3073,1116
2222062,1424,1117
2231505,4232,1118
2232464,1287,1119
2245544,184,1120
2245888,1155,1121
2246953,6453,1122
2248905,2393,1123
2253947,1563,1124
2258285,357,1125
2261542,7457,1126
2262175,962,1127
2262952,3292,1128
2265080,6405,1129
2273657,6038,1130
2275885,2692,1131
2275949,216,1132
2277308,843,1133
2277860,5409,1134
2284808,4284,1135
2290543,3541,1136
2293640,6641,1137
2304933,4608,1138
2304953,7263,1139
2316868,7313,1140
2317135,2005,1141
2324096,4166,1142
2327589,6198,1143
2328549,3627,1144
2332573,5160,1145
2336284,2304,1146
2337993,998,1147
2338846,1064,1148
2339367,4873,1149
2339741,7349,1150
2342810,1910,1151
2345737,3618,1152
2346406,7764,1153
2347289,2744,1154
2349126,2518,1155
2349548,6836,1156
2350374,944,1157
2350734,2256,1158
2351098,4153,1159
2356860,4277,1160
2360586,1002,1161
2363181,1683,1162
2363435,2621,1163
2363535,5344,1164
2369041,4272,1165
2373632,5581,1166
2375559,79,1167
2375585,2455,1168
2377938,5301,1169
2382622,5937,1170
2384794,1479,1171
2386668,1225,1172
2387408,5887,1173
2387495,3887,1174
2387575,5533,1175
2387692,2668,1176
2388755,1619,1177
2388805,3118,1178
2390792,47,1179
2391732,6680,1180
2393829,7348,1181
2397535,1458,1182
2398231,4271,1183
2398340,747,1184
2401789,6506,1185
2402085,7167,1186
2402565,4958,1187
2403021,1618,1188
2403961,6427,1189
2404484,582,1190
2404738,6343,1191
2411024,2877,1192
2411112,653,1193
2420824,2498,1194
2429074,2327,1195
2431286,1531,1196
2441806,6319,1197
2442662,5627,1198
2449810,4709,1199
2457282,5716,1200
2457548,1426,1201
2458040,6379,1202
2463808,2614,1203
2473746,3568,1204
2480940,2516,1205
2484530,6820,1206
2487126,2076,1207
2492344,121,1208
2497980,3543,1209
2505818,4895,1210
2515030,7697,1211
2526866,5592,1212
2551842,6794,1213
2552296,6229,1214
2556296,2392,1215
2570292,5496,1216
2571022,5797,1217
2577622,800,1218
2582802,3624,1219
2584380,5940,1220
2585072,5374,1221
2585160,2691,1222
2592614,2573,1223
2593224,5642,1224
2593230,4650,1225
2603600,6734,1226
2604346,1469,1227
2610252,3905,1228
2611390,5066,1229
2618500,7311,1230
2630134,3032,1231
2632308,5905,1232
2636488,5218,1233
2639344,3988,1234
2642064,197,1235
2649554,2566,1236
2651370,4081,1237
2652476,4191,1238
2655734,1548,1239
2670216,3378,1240
2670454,4140,1241
2683694,3444,1242
2689354,1679,1243
2690596,5510,1244
2691734,6262,1245
2701772,3697,1246
2702920,4146,1247
2707858,3204,1248
2711256,3117,1249
2714380,554,1250
2716382,3218,1251
2720726,6824,1252
2721152,4224,1253
2724532,6848,1254
2728784,2723,1255
2731254,2540,1256
2732210,191,1257
2746136,935,1258
2748544,6218,1259
2759548,5634,1260
2762738,6723,1261
2763764,5449,1262
2772762,4296,1263
2784512,389,1264
2794596,6500,1265
2800400,1034,1266
2802136,1318,1267
2811690,7126,1268
2814874,3130,1269
2815966,2306,1270
2822672,3076,1271
2833074,2818,1272
2833598,2112,1273
2871482,5832,1274
2873280,592,1275
2873282,7642,1276
2877192,4470,1277
2884018,4963,1278
2886632,7299,1279
2889234,1303,1280
2890140,5190,1281
2901962,1493,1282
2905606,446,1283
2911342,5380,1284
2912522,4560,1285
2914048,6870,1286
2916772,538,1287
2923282,3372,1288
2923936,6458,1289
2926810,466,1290
2936884,119,1291
2938956,768,1292
2941260,3660,1293
2941330,207,1294
2943910,501,1295
2948266,682,1296
2955304,2528,1297
2957774,4638,1298
2967286,2427,1299
2969482,5991,1300
2972362,3392,1301
2984576,6025,1302
2986122,1806,1303
2989524,6925,1304
2990126,6473,1305
2990738,1672,1306
2990816,4436,1307
2992146,1610,1308
2992152,1228,1309
2993434,6219,1310
2998118,1191,1311
3003470,2030,1312
3003668,2424,1313
3005242,984,1314
3006508,3973,1315
3012826,6989,1316
3013126,482,1317
3013528,2251,1318
3022898,3107,1319
3027644,7095,1320
3030580,430,1321
3036654,539,1322
3043176,3060,1323
3054798,4414,1324
3056888,1643,1325
3059786,755,1326
3069758,3898,1327
3074546,5588,1328
3074784,2625,1329
3079222,7532,1330
3081722,5872,1331
3087700,3367,1332
3093286,317,1333
3103166,7276,1334
3108658,1092,1335
3114132,3732,1336
3115712,4006,1337
3119360,2624,1338
3120944,1395,1339
3121604,5601,1340
3124676,685,1341
3134422,3420,1342
3138782,1636,1343
3141912,4269,1344
3148978,2995,1345
3150796,5979,1346
3158138,7630,1347
3158308,423,1348
3168926,5662,1349
3171832,5275,1350
3175798,2643,1351
3175936,808,1352
3177264,1892,1353
3180490,2812,1354
3198484,3859,1355
3202890,733,1356
3202940,895,1357
3203992,4317,1358
3204254,7257,1359
3204860,2932,1360
3208950,5672,1361
3210686,16,1362
3211048,946,1363
3212904,2571,1364
3213622,2907,1365
3219310,2979,1366
3224288,7416,1367
3227548,6586,1368
3227712,879,1369
3229768,1896,1370
3235258,4796,1371
3238462,2921,1372
3248600,568,1373
3249124,7643,1374
3251284,6412,1375
3254930,6411,1376
3256812,908,1377
3257550,1945,1378
3257610,3047,1379
3259968,4295,1380
3266284,5559,1381
3268288,4542,1382
3268668,961,1383
3276924,3918,1384
3281502,1552,1385
3283714,1807,1386
3283864,4400,1387
3285802,2567,1388
3286560,5703,1389
3289362,6559,1390
3290714,2017,1391
3291148,6099,1392
3294634,6519,1393
3298690,2482,1394
3305844,232,1395
3311900,3106,1396
